time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201607162250,19°C,Wind blowing from 320° Northwest to Southeast,15 km/h,Partly cloudy.,1024 mbar,68%
201607162320,18°C,Wind blowing from 310° Northwest to Southeast,13 km/h,Passing clouds.,1023 mbar,78%
201607162350,18°C,Wind blowing from 300° West-northwest to East-southeast,11 km/h,Partly cloudy.,1023 mbar,78%
201607170020,18°C,Wind blowing from 290° West-northwest to East-southeast,9 km/h,Partly cloudy.,1023 mbar,78%
201607170050,18°C,Wind blowing from 280° West to East,11 km/h,Passing clouds.,1023 mbar,78%
201607170120,17°C,Wind blowing from 270° West to East,11 km/h,Passing clouds.,1023 mbar,83%
201607170150,17°C,Wind blowing from 260° West to East,11 km/h,Clear.,1023 mbar,83%
201607170220,17°C,Wind blowing from 260° West to East,9 km/h,Clear.,1023 mbar,83%
201607170250,16°C,Wind blowing from 270° West to East,11 km/h,Clear.,1022 mbar,88%
201607170320,16°C,Wind blowing from 270° West to East,13 km/h,Clear.,1022 mbar,88%
201607170350,16°C,Wind blowing from 260° West to East,13 km/h,Clear.,1022 mbar,88%
201607170420,17°C,Wind blowing from 260° West to East,11 km/h,Clear.,1022 mbar,83%
201607170450,17°C,Wind blowing from 260° West to East,11 km/h,Partly cloudy.,1022 mbar,83%
201607170520,17°C,Wind blowing from 260° West to East,13 km/h,Partly cloudy.,1022 mbar,83%
201607170620,17°C,Wind blowing from 230° Southwest to Northeast,11 km/h,Passing clouds.,1022 mbar,88%
201607170650,17°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Partly sunny.,1022 mbar,83%
201607170720,18°C,Wind blowing from 230° Southwest to Northeast,13 km/h,Broken clouds.,1022 mbar,83%
201607170750,18°C,Wind blowing from 240° West-southwest to East-northeast,13 km/h,Partly sunny.,1022 mbar,83%
201607170820,18°C,Wind blowing from 240° West-southwest to East-northeast,11 km/h,Partly sunny.,1022 mbar,83%
201607170850,19°C,Wind blowing from 240° West-southwest to East-northeast,11 km/h,Partly sunny.,1022 mbar,78%
201607170920,19°C,Wind blowing from 260° West to East,11 km/h,Partly sunny.,1022 mbar,78%
201607171020,21°C,Wind blowing from 280° West to East,20 km/h,Partly sunny.,1021 mbar,69%
201607171050,22°C,Wind blowing from 300° West-northwest to East-southeast,19 km/h,Partly sunny.,1021 mbar,65%
201607171120,22°C,Wind blowing from 270° West to East,20 km/h,Partly sunny.,1021 mbar,65%
201607171150,21°C,Wind blowing from 270° West to East,22 km/h,Broken clouds.,1021 mbar,69%
201607171250,23°C,Wind blowing from 270° West to East,19 km/h,Scattered showers. Scattered clouds.,1021 mbar,65%
201607171320,22°C,Wind blowing from 290° West-northwest to East-southeast,24 km/h,Scattered showers. Broken clouds.,1021 mbar,69%
201607171420,23°C,Wind blowing from 280° West to East,19 km/h,Partly sunny.,1020 mbar,61%
201607171450,23°C,Wind blowing from 270° West to East,22 km/h,Thundershowers. Partly sunny.,1020 mbar,61%
201607171520,19°C,Wind blowing from 320° Northwest to Southeast,22 km/h,Sprinkles. Partly sunny.,1021 mbar,88%
201607171550,19°C,Wind blowing from 270° West to East,22 km/h,Scattered showers. Partly sunny.,1021 mbar,88%
201607171620,19°C,Wind blowing from 250° West-southwest to East-northeast,20 km/h,Scattered showers. Partly sunny.,1020 mbar,88%
201607171650,20°C,Wind blowing from 260° West to East,17 km/h,Scattered showers. Clear.,1020 mbar,83%
201607171720,21°C,Wind blowing from 270° West to East,20 km/h,Scattered clouds.,1020 mbar,78%
201607171750,20°C,Wind blowing from 270° West to East,22 km/h,Scattered showers. Scattered clouds.,1020 mbar,78%
201607171820,19°C,Wind blowing from 260° West to East,28 km/h,Partly sunny.,1020 mbar,83%
201607171850,20°C,Wind blowing from 250° West-southwest to East-northeast,22 km/h,Partly sunny.,1020 mbar,83%
